id,title,year,genres,moods,overview
1,Inception,2010,Action|Sci-Fi|Thriller,mind-bending|tense|curious,A thief enters dreams to steal secrets and plant an idea.
2,The Grand Budapest Hotel,2014,Comedy|Drama,whimsical|nostalgic|light,A legendary concierge and his protégé become embroiled in a murder mystery.
3,Spirited Away,2001,Animation|Fantasy|Adventure,wonder|cozy|emotional,A girl enters a spirit world and works in a bathhouse to free her parents.
4,Mad Max Fury Road,2015,Action|Adventure,adrenaline|intense|epic,Survivors flee across a desert wasteland in a high-octane chase.
5,Before Sunrise,1995,Romance|Drama,romantic|reflective|calm,Two strangers share a night of conversation in Vienna.
6,The Dark Knight,2008,Action|Crime|Drama,dark|tense|thrilling,Batman faces the Joker as chaos engulfs Gotham.
7,Amélie,2001,Comedy|Romance,whimsical|warm|cozy,A shy waitress secretly improves the lives of people around her.
8,Interstellar,2014,Sci-Fi|Drama|Adventure,awe|emotional|curious,Explorers travel through a wormhole to save humanity.
9,Parasite,2019,Thriller|Drama,tense|dark|mind-bending,A poor family infiltrates a wealthy household with unexpected consequences.
10,Paddington 2,2017,Comedy|Family|Adventure,warm|cozy|light,A polite bear seeks a gift and uncovers a crime in London.
11,Whiplash,2014,Drama|Music,intense|tense|ambitious,A young drummer pursues excellence under a ruthless instructor.
12,The Secret Life of Walter Mitty,2013,Adventure|Comedy|Drama,inspirational|curious|light,A daydreamer embarks on a real-world journey of courage.
13,Her,2013,Romance|Sci-Fi|Drama,reflective|romantic|melancholy,A lonely writer forms a relationship with an advanced OS.
14,John Wick,2014,Action|Thriller,adrenaline|intense|dark,A retired hitman seeks vengeance with legendary skill.
15,Little Miss Sunshine,2006,Comedy|Drama,warm|bittersweet|light,A dysfunctional family road-trips to a child beauty pageant.
